,platformId,gameId,champion,queue,season,timestamp,role,lane,status.status_code,status.message,matches,startIndex,endIndex,totalGames
9415,NA1,-2147483648,75.0,420.0,12.0,1545776339847.0,SOLO,TOP,,,,,,
9416,NA1,-2147483648,75.0,420.0,13.0,1588490852096.0,SOLO,TOP,,,,,,
9417,NA1,-2147483648,75.0,420.0,13.0,1587876174734.0,SOLO,TOP,,,,,,
9418,NA1,-2147483648,75.0,420.0,13.0,1587800935224.0,SOLO,TOP,,,,,,
9419,NA1,-2147483648,75.0,420.0,13.0,1584755627679.0,SOLO,TOP,,,,,,
9420,NA1,-2147483648,75.0,420.0,13.0,1584168081577.0,SOLO,TOP,,,,,,
9421,NA1,-2147483648,75.0,420.0,13.0,1573722922310.0,SOLO,TOP,,,,,,
9422,NA1,-2147483648,75.0,420.0,13.0,1573721004164.0,DUO,TOP,,,,,,
9423,NA1,-2147483648,75.0,420.0,13.0,1573304023422.0,SOLO,TOP,,,,,,
9424,NA1,-2147483648,75.0,420.0,13.0,1573299986135.0,SOLO,TOP,,,,,,
9425,NA1,-2147483648,75.0,420.0,13.0,1569748515075.0,SOLO,TOP,,,,,,
9426,NA1,-2147483648,75.0,420.0,13.0,1579487481746.0,SOLO,TOP,,,,,,
9427,NA1,-2147483648,75.0,420.0,13.0,1573265028740.0,SOLO,TOP,,,,,,
9428,NA1,-2147483648,75.0,420.0,13.0,1598736878307.0,SOLO,TOP,,,,,,
9429,NA1,-2147483648,75.0,420.0,13.0,1598418159522.0,SOLO,TOP,,,,,,
9430,NA1,-2147483648,75.0,420.0,13.0,1596085224090.0,SOLO,TOP,,,,,,
9431,NA1,-2147483648,75.0,420.0,13.0,1594961687166.0,SOLO,TOP,,,,,,
9432,NA1,-2147483648,75.0,420.0,13.0,1591813452729.0,SOLO,TOP,,,,,,
9433,NA1,-2147483648,75.0,420.0,13.0,1590450437432.0,SOLO,TOP,,,,,,
9434,NA1,-2147483648,75.0,420.0,13.0,1589804911861.0,SOLO,TOP,,,,,,
9435,NA1,-2147483648,75.0,420.0,13.0,1589800528462.0,SOLO,TOP,,,,,,
9436,NA1,-2147483648,75.0,420.0,13.0,1581156064752.0,SOLO,TOP,,,,,,
9437,NA1,-2147483648,75.0,420.0,13.0,1569469170121.0,DUO_SUPPORT,NONE,,,,,,
9438,NA1,-2147483648,75.0,420.0,13.0,1569041319774.0,SOLO,TOP,,,,,,
9439,NA1,-2147483648,75.0,420.0,13.0,1568606166348.0,SOLO,TOP,,,,,,
9440,NA1,-2147483648,75.0,420.0,13.0,1566793564612.0,SOLO,TOP,,,,,,
9441,NA1,-2147483648,75.0,420.0,13.0,1560325551844.0,SOLO,TOP,,,,,,
9442,NA1,-2147483648,75.0,420.0,13.0,1557363895009.0,DUO,TOP,,,,,,
9443,NA1,-2147483648,75.0,420.0,13.0,1557361608484.0,SOLO,TOP,,,,,,
9444,NA1,-2147483648,75.0,420.0,13.0,1554190418223.0,SOLO,TOP,,,,,,
9445,NA1,-2147483648,75.0,420.0,13.0,1598154524998.0,SOLO,TOP,,,,,,
9446,NA1,-2147483648,75.0,420.0,13.0,1597690786253.0,SOLO,TOP,,,,,,
9447,NA1,-2147483648,75.0,420.0,13.0,1597547341180.0,SOLO,TOP,,,,,,
9448,NA1,-2147483648,75.0,420.0,13.0,1597545498796.0,DUO_SUPPORT,MID,,,,,,
9449,NA1,-2147483648,75.0,420.0,13.0,1596416988491.0,SOLO,TOP,,,,,,
9450,NA1,-2147483648,75.0,420.0,13.0,1594763645358.0,SOLO,TOP,,,,,,
9451,NA1,-2147483648,75.0,420.0,13.0,1590473817953.0,SOLO,TOP,,,,,,
9452,NA1,-2147483648,75.0,420.0,13.0,1590196259444.0,SOLO,TOP,,,,,,
9453,NA1,-2147483648,75.0,420.0,13.0,1589749212616.0,SOLO,TOP,,,,,,
9454,NA1,-2147483648,75.0,420.0,13.0,1589691206874.0,SOLO,TOP,,,,,,
9455,NA1,-2147483648,75.0,420.0,13.0,1589662348584.0,SOLO,TOP,,,,,,
9456,NA1,-2147483648,75.0,420.0,13.0,1589660821196.0,DUO_SUPPORT,NONE,,,,,,
9457,NA1,-2147483648,75.0,420.0,13.0,1589659458525.0,DUO_SUPPORT,NONE,,,,,,
9458,NA1,-2147483648,75.0,420.0,13.0,1589148542342.0,SOLO,TOP,,,,,,
9459,NA1,-2147483648,75.0,420.0,13.0,1589095848491.0,DUO,NONE,,,,,,
9460,NA1,-2147483648,75.0,420.0,13.0,1589092992695.0,SOLO,TOP,,,,,,
9461,NA1,-2147483648,75.0,420.0,13.0,1588648466555.0,SOLO,TOP,,,,,,
9462,NA1,-2147483648,75.0,420.0,13.0,1588635270140.0,SOLO,TOP,,,,,,
9463,NA1,-2147483648,75.0,420.0,13.0,1588633691189.0,DUO,NONE,,,,,,
