,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
2679,4fa151d6-56b8-46a8-8f0d-07d8558bf84d,RANKED_SOLO_5x5,SILVER,III,BeYrcOEgMHv-ChgRhU3vvR-MK8n9FmCFjJ8aEbuEASBXbShM,Hidden LEAF420,53.0,34.0,47.0,False,False,False,False
2680,9ecce8b7-bb3c-42a7-a6cb-96dd13243d6d,RANKED_SOLO_5x5,SILVER,III,HKCtpG5QwI0aFQrHab-LWPovfv8_T1S3edK5mQA4E5X5HPPi,lololololololiii,0.0,276.0,273.0,False,False,False,False
2681,a348aaed-cc65-46da-81af-6554383e17fe,RANKED_SOLO_5x5,SILVER,III,RnggWrY1Y__EK4xDkTPyyZvIzHixrXU7J5jsDMH16bhRXtoW,L3ngua,56.0,60.0,54.0,False,False,False,False
2682,43ea8db5-3a52-4868-98b8-62a3e3fe4f84,RANKED_SOLO_5x5,SILVER,III,9v8gW4SU_0XPBigES7vkLWWKroqI2A6T5mfgjRf3BI_Hx4Se,KwebKweb,58.0,192.0,182.0,False,False,False,False
2683,0fabcb1b-2399-4c23-854d-ddff9c18ad01,RANKED_SOLO_5x5,SILVER,III,QVeOWhsiEJSjgxsCd5MEofJr49uUQTzlNkQt9OS0KdvsrsRK,GengarJG,73.0,36.0,35.0,False,False,False,False
2684,8309e5cd-9b93-401f-9317-04075a8bc991,RANKED_SOLO_5x5,SILVER,III,GVA9WNszFcFcWnnHyuQ-S5r1D2g_Rmp5ZUsuXIL2_fi7ffnw,SexPanther13,80.0,111.0,110.0,False,False,False,False
2685,666b74b5-878c-49a4-a683-f7ff26441987,RANKED_SOLO_5x5,SILVER,III,EBl5IWLBseD3Zmv3fYwM3I2VlThc9EQ0y-NZQcWnc3J7lu4a,GhostDragon0114,58.0,65.0,64.0,False,False,False,False
2686,36feb94e-82e9-45d2-9bc5-6df2581d969c,RANKED_SOLO_5x5,SILVER,III,eB83DmY4IAw8qQaOPDZfJPlMZwzxGVJO9pQoFdX98CKIpg4C,tAotEnNam2310,58.0,159.0,168.0,False,False,False,False
2687,f4949034-1e4e-48e1-90a2-7e666c347cde,RANKED_SOLO_5x5,SILVER,III,iVAJL2Ab1gYu4_67MHXQJcwqCunKa0B1_krjy7Gen9XPZNnz,HersheyStraw,37.0,5.0,7.0,False,False,False,False
2688,8ac1a17a-33f7-48e0-8518-2b874ce3db13,RANKED_SOLO_5x5,SILVER,III,mcWs1tU5fX7ghiBKSrZD2SInGLIG8Ac71UYgHPFlUR9BCbKZ,Circlexs,0.0,15.0,15.0,False,False,False,False
